Domain,Pagespeed,Yslow,Onload,Full_load,Requests,Total_size
ebuddy.com/,90,90,1.5s,1.7s,11,1.06
radikal.ru/,17,40,13.1s,14.5s,535,2.98
jcpenney.com/,58,67,6.8s,14.8s,315,4.38
armorgames.com/,25,50,11.7s,12.6s,593,3.48
information.com/,22,81,5.2s,5.9s,30,4.89
downloadcave.com/,99,98,333ms,369ms,3,1.42
orbitz.com/,55,41,7.8s,10.2s,350,2.65
ca.gov/,50,67,3.4s,4.3s,123,3.56
zaycev.net/,49,50,12.3s,14.4s,284,3.51
imvu.com/,79,73,3.2s,6.2s,98,10.1
rian.ru/,61,44,12.4s,13.9s,294,6.1
usagc.org/,95,95,0.6s,1.8s,7,99
metroflog.com/,83,70,6.2s,6.7s,145,1.94
medicinenet.com/,43,56,9.5s,47.3s,359,2.3
classmates.com/,57,66,2.7s,5.5s,191,1.21
windowsmedia.com/,66,64,4.6s,6.2s,59,1.06
detik.com/,42,46,29.2s,32.7s,447,3.6
mk.co.kr/,42,55,9.6s,10.0s,175,2.16
microsofttranslator.com/,96,92,0.9s,2.9s,45,348
verizon.net/,48,47,4.9s,9.9s,152,2.82
cartoonnetwork.com/,70,72,3.4s,4.1s,98,2.11
mt.co.kr/,18,51,14.1s,14.7s,156,4.35
rr.com/,96,97,301ms,498ms,5,84.6
fresheye.com/,55,47,7.4s,9.2s,180,644
stumbleupon.com/,94,91,492ms,0.6s,16,221
myvideo.de/,54,55,6.1s,8.7s,238,2.69
hotpepper.jp/,50,59,5.8s,8.8s,183,1.56
pcgames.com.cn/,77,68,7.5s,17.0s,78,1.11
costco.com/,54,55,13.5s,22.1s,270,5.25
uploaded.to/,65,71,2.7s,3.0s,54,457
xiaonei.com/,99,98,461ms,1.8s,2,1.52
24h.com.vn/,47,56,5.1s,10.9s,229,1.59
mafiawars.com/,68,84,2.7s,2.8s,86,3.25
priceminister.com/,55,60,4.1s,9.7s,140,2.74
w3.org/,76,86,2.4s,2.5s,38,419
nhaccuatui.com/,41,62,19.6s,20.4s,210,5.1
vnexpress.net/,30,67,8.7s,23.3s,540,2.78
foxnetworks.com/,72,68,1.9s,2.2s,49,500
freakshare.net/,96,91,0.6s,10.9s,22,270
rutracker.org/,56,57,16.7s,37.7s,176,3.8
elmundo.es/,67,65,3.5s,7.1s,124,2.18
torrentreactor.net/,70,65,6.2s,6.4s,50,1.26
best-price.com/,85,76,1.1s,1.7s,36,1.27
nasa.gov/,28,69,3.9s,5.1s,148,5.02
mdinfo.com/,95,89,13.8s,14.0s,19,260
limewire.com/,63,79,2.2s,3.0s,33,1.06
wer-kennt-wen.de/,32,46,24.6s,45.2s,554,10
nikkei.com/,51,50,4.0s,7.3s,218,817
gap.com/,62,80,2.9s,12.1s,241,1.85
wiley.com/,64,74,3.5s,6.0s,80,2.87
time.com/,48,60,3.7s,6.9s,240,3.13
elsevier.com/,57,65,2.5s,2.9s,65,2.37
howstuffworks.com/,30,76,4.2s,11.2s,462,1.89
agame.com/,74,61,2.8s,2.8s,119,1.39
che168.com/,34,66,7.3s,7.6s,109,4.01
corriere.it/,59,64,5.1s,20.2s,204,2.3
xorg.pl/,100,96,4.1s,4.3s,10,63.2
wachovia.com/,74,68,4.8s,6.7s,88,1.24
thesun.co.uk/,23,45,8.3s,17.4s,609,3.97
girlsgogames.com/,73,62,3.6s,4.0s,123,1.49
piriform.com/,82,69,4.6s,5.5s,85,2.01
rbc.ru/,44,46,15.0s,37.2s,422,3.13
spiegel.de/,89,69,4.6s,4.6s,52,1.2
tbs.co.jp/,43,74,7.1s,7.4s,96,2.84
europa.eu/,82,74,4.8s,5.0s,28,171
vancl.com/,48,72,7.9s,8.1s,118,7.19
citibank.com/,49,48,8.0s,11.2s,224,2.74
clubpenguin.com/,76,62,4.0s,4.3s,105,1.98
verizon.com/,44,57,2.6s,6.5s,167,1.92
forbes.com/,35,48,10.7s,28.8s,515,4.19
delta.com/,51,59,8.8s,26.2s,248,1.58
sky.com/,61,57,3.6s,20.1s,186,2.06
nikkei.co.jp/,52,50,3.8s,7.3s,217,816
norton.com/,66,57,2.5s,4.4s,128,1.54
rapid4me.com/,83,72,2.2s,2.5s,66,503
seznam.cz/,34,51,10.6s,11.1s,340,3
zoosk.com/,77,64,5.0s,5.5s,81,1.36
jstor.org/,87,72,2.0s,3.2s,50,928
19lou.com/,13,68,9.4s,12.3s,135,6.83
juegos.com/,75,62,3.2s,3.3s,117,1.21
easyjet.com/,33,68,5.9s,7.1s,158,4.18
hyves.nl/,76,81,1.8s,2.1s,38,1.26
cbsnews.com/,61,73,4.9s,21.8s,225,4.69
yoka.com/,39,60,9.9s,10.2s,175,7.68
mylife.com/,63,60,2.8s,3.9s,121,5.75
jrj.com.cn/,33,41,49.3s,52.6s,292,2.69
businessweek.com/,40,43,8.8s,9.6s,350,4.07
partypoker.it/,97,91,5.4s,7.0s,37,1.87
shop-pro.jp/,40,51,9.9s,11.7s,231,4.91
taleo.net/,54,63,3.8s,7.3s,178,1.67
dantri.com.vn/,35,44,31.1s,34.3s,180,5.97
pcworld.com/,51,44,14.4s,18.3s,411,4.91
xcar.com.cn/,48,49,75.5s,77.3s,203,4.04
chinaz.com/,68,60,13.5s,14.5s,104,1.24
nike.com/,52,54,12.8s,14.7s,219,7.89
ya.ru/,91,87,3.2s,4.4s,22,173
picnik.com/,93,85,462ms,1.3s,12,69.7
pchome.com.tw/,22,47,13.4s,16.1s,303,11
with2.net/,97,92,0.6s,0.7s,5,19.1
pogo.com/,96,96,0.8s,1.0s,36,753
fanbox.com/,96,87,1.2s,2.8s,29,734
95599.cn/,49,52,14.3s,14.9s,76,2.94
evite.com/,29,44,7.3s,11.4s,509,2.6
hankooki.com/,17,45,13.5s,36.2s,1702,18.5
stayfriends.de/,57,52,4.7s,9.1s,214,1.26
gutefrage.net/,86,78,3.9s,4.8s,75,1.46
logmein.com/,60,59,4.3s,5.3s,153,1.2
break.com/,63,57,32.1s,32.7s,126,3.38
mercadolibre.com.mx/,73,93,1.4s,2.8s,72,1.52
blogcu.com/,91,64,3.6s,3.8s,57,397
winzip.com/,68,59,2.3s,3.4s,86,1.11
bahn.de/,74,61,4.8s,5.1s,73,1.32
topshareware.com/,80,69,1.2s,1.4s,35,403
acer.com/,49,78,3.2s,3.6s,69,5.27
mynet.com/,51,55,6.5s,9.3s,277,1.83
urbandictionary.com/,18,49,9.2s,11.5s,799,2.36
sanook.com/,56,57,8.9s,10.0s,256,2.33
rayfile.com/,60,69,35.4s,36.4s,165,1.77
usenet.nl/,77,74,4.5s,5.8s,40,818
encyclopedia.com/,74,76,1.0s,1.9s,98,2.09
imagevenue.com/,38,79,1.7s,1.9s,14,1.43
qip.ru/,32,43,14.3s,18.3s,504,2.28
discovery.com/,0,43,5.8s,13.5s,403,15.8
yam.com/,91,77,3.9s,8.2s,135,1.28
265.com/,52,73,3.4s,6.2s,83,1.52
mashable.com/,32,59,3.5s,20.1s,500,3.01
me.com/,95,96,2.6s,6.0s,29,2.2
yandex.ua/,73,70,6.2s,15.6s,125,1.83
foodnetwork.com/,38,37,9.5s,12.7s,346,3.62
freewebs.com/,72,75,2.7s,3.1s,73,731
sonyericsson.com/,73,57,4.2s,5.4s,66,1.33
61.com/,66,86,5.8s,6.3s,88,4.6
articlesbase.com/,76,74,3.1s,5.3s,58,1.2
mufg.jp/,58,79,4.9s,5.0s,61,5.39
xrea.com/,49,66,6.6s,8.3s,108,2.41
cri.cn/,49,68,7.4s,8.4s,297,10.3
movies-links.tv/,81,77,2.9s,3.1s,29,251
match.com/,86,71,3.2s,4.4s,46,1.19
livescore.com/,37,72,2.3s,14.6s,350,4.81
zhcw.com/,30,57,7.7s,10.0s,176,3.93
ebay.com.au/,67,75,1.7s,12.8s,179,2.96
istockphoto.com/,60,77,1.8s,4.4s,118,2.34
speedtest.net/,27,47,11.3s,18.3s,644,3.37
sprint.com/,46,47,8.9s,17.5s,268,4.65
superpages.com/,92,89,1.9s,2.2s,33,750
infospace.com/,94,85,1.6s,3.3s,22,283
accuweather.com/,31,74,1.3s,8.1s,505,2.64
doctissimo.fr/,51,58,5.6s,9.0s,251,2.87
msn.com.cn/,42,74,4.0s,19.6s,266,1.2
t-mobile.com/,34,48,8.8s,26.7s,398,7.36
tuenti.com/,96,91,2.2s,2.4s,21,317
tmz.com/,20,38,21.5s,32.6s,793,13.2
otto.de/,45,62,2.6s,8.0s,242,1.85
gemius.pl/,77,65,3.8s,4.3s,54,714
shoplocal.com/,89,85,2.3s,5.2s,41,710
barnesandnoble.com/,77,68,9.2s,11.8s,130,2.44
pclady.com.cn/,33,68,7.4s,9.1s,82,3.6
ninemsn.com.au/,51,62,3.8s,6.5s,97,1.88
wanfangdata.com.cn/,51,47,71.5s,71.8s,89,2.22
pronto.com/,93,83,1.0s,2.4s,19,303
baixing.com/,92,78,5.7s,6.1s,35,367
worldstarhiphop.com/,56,55,2.1s,4.9s,95,1.28
yahoo.com.tw/,22,35,69.7s,70.8s,867,5.14
cnki.com.cn/,39,60,15.0s,15.4s,87,416
w3schools.com/,59,78,1.2s,3.3s,183,866
unlimited-downloads.biz/,96,93,2.6s,2.9s,12,165
carview.co.jp/,57,70,7.0s,9.8s,111,9.5
zjol.com.cn/,0,68,13.7s,14.0s,81,9.6
hinet.net/,34,57,7.5s,29.5s,958,5.71
buzzle.com/,91,83,1.7s,1.8s,21,163
schuelervz.net/,97,86,0.8s,2.0s,10,39.2
nationalgeographic.com/,29,56,13.8s,15.5s,288,8.18
local.com/,64,79,2.8s,6.1s,53,1.21
tv.com/,0,41,14.4s,20.7s,629,15.2
kaskus.us/,92,82,1.9s,5.5s,22,207
etsy.com/,66,65,4.2s,4.4s,93,1.27
eastday.com/,20,45,13.2s,13.6s,200,6.08
shumenol.com/,62,56,7.9s,8.3s,105,5.49
sendspace.com/,89,71,1.8s,2.1s,36,719
citysearch.com/,91,84,0.7s,0.8s,24,196
zaobao.com/,59,52,7.7s,11.8s,205,3.81
ed.gov/,74,59,3.4s,3.5s,44,530
irctc.co.in/,61,69,11.2s,23.2s,207,3.06
downtr.net/,98,91,1.1s,1.2s,13,112
playstation.com/,2,58,4.3s,5.9s,139,10.1
elpais.com/,33,59,7.9s,23.7s,333,2.87
utorrent.com/,72,56,2.7s,3.0s,60,2.81
blogmura.com/,37,39,13.2s,15.3s,503,3.1
mapbar.com/,90,82,10.6s,12.9s,38,234
readnovel.com/,61,72,7.4s,8.8s,69,1.71
m1905.com/,80,68,5.8s,5.9s,33,892
marriott.com/,48,48,9.2s,16.2s,299,3.58
popeater.com/,100,95,0.5s,0.6s,6,65.2
jsoftj.com/,71,58,26.2s,26.6s,172,1.18
tweetmeme.com/,87,79,1.7s,1.9s,10,372
hm.com/,98,99,444ms,0.8s,12,482
travelzoo.com/,81,73,7.6s,12.0s,55,14.4
torrentdownloads.net/,89,88,1.7s,1.8s,59,143
izlesene.com/,76,81,4.2s,12.9s,141,1.36
studivz.net/,92,80,2.6s,4.2s,44,650
kayak.com/,82,76,3.2s,6.4s,77,1.1
zappos.com/,72,76,3.5s,7.1s,129,1.41
realtor.com/,48,76,2.8s,16.0s,278,3.14
abchina.com/,49,52,8.7s,9.0s,76,2.93
hurra.com/,64,65,6.2s,10.1s,131,5.48
aa.com/,49,54,8.1s,15.9s,225,1.68
uuu9.com/,19,48,11.6s,16.8s,427,6.42
cricinfo.com/,58,67,2.8s,7.8s,247,1.92
52pk.com/,0,57,6.2s,6.3s,206,10.8
searchignite.com/,99,99,420ms,0.5s,3,1.03
chinadaily.com.cn/,0,51,7.3s,8.3s,209,8.43
newegg.com/,22,70,5.6s,28.0s,756,4.2
timeanddate.com/,67,87,2.1s,14.9s,216,3.67
direct.gov.uk/,100,98,0.8s,0.8s,24,283
pctools.com/,57,55,4.1s,9.5s,176,1.78
27.cn/,96,82,1.8s,2.0s,9,214
tgbus.com/,33,67,15.4s,15.7s,410,11.5
fc2web.com/,67,71,1.0s,1.2s,31,86.8
mozdev.org/,79,70,0.8s,0.9s,35,278
marca.com/,74,70,5.1s,6.2s,119,1.92
udn.com/,71,61,17.8s,21.4s,298,5
amazon.fr/,55,70,3.7s,14.0s,277,3.21
weblio.jp/,72,59,5.3s,7.4s,126,1.12
changyou.com/,93,76,1.5s,1.7s,20,365
daily.co.jp/,34,53,9.5s,16.2s,397,2.4
thefind.com/,87,90,5.3s,6.1s,60,1.18
nttdocomo.co.jp/,41,48,6.7s,7.4s,250,2.6
kohls.com/,33,68,3.7s,19.2s,580,6.62
walkerplus.com/,29,51,11.4s,12.4s,326,2.74
babycenter.com/,15,58,7.9s,9.6s,327,7.45
ow.ly/,69,56,4.1s,4.5s,78,1.05
toocle.com/,89,82,2.7s,3.3s,8,118
webcrawler.com/,95,89,2.1s,3.9s,19,271
stackoverflow.com/,95,90,1.6s,1.6s,52,409
ekolay.net/,18,55,9.0s,21.4s,782,4.5
kuronekoyamato.co.jp/,83,78,3.4s,3.6s,21,1.13
vzw.com/,66,68,2.2s,7.7s,151,4.93
buzznet.com/,31,55,2.8s,23.1s,777,3.73
wetter.com/,4,36,65.7s,137.8s,2452,10.3
dospy.com/,17,65,14.3s,14.7s,133,5.45
fidelity.com/,56,65,2.9s,8.1s,161,2.36
gismeteo.ru/,74,63,7.1s,11.9s,134,1.05
ft.com/,78,72,2.4s,4.6s,178,1.82
freedownloadscenter.com/,69,84,1.4s,1.5s,52,871
bidders.co.jp/,88,74,1.2s,1.5s,18,103
tesco.com/,84,70,2.3s,3.5s,70,1.74
azlyrics.com/,45,49,9.8s,12.2s,296,1.58
legacy.com/,34,75,3.3s,3.9s,94,3.3
tf1.fr/,78,73,4.1s,8.4s,111,1.57
nhl.com/,33,43,13.7s,17.8s,441,5.34
mycom.co.jp/,37,68,7.5s,8.9s,119,3.06
rtl.de/,32,47,16.1s,35.1s,580,11.7
hankyung.com/,20,51,10.5s,12.7s,242,4.7
edeng.cn/,72,66,7.9s,11.6s,40,685
immobilienscout24.de/,62,54,5.3s,6.4s,167,3.1
gigazine.net/,58,61,10.2s,12.0s,237,2.33
marketwatch.com/,34,38,10.9s,14.5s,491,3.29
xuite.net/,47,63,13.2s,28.7s,231,2.71
techcrunch.com/,28,50,10.8s,16.0s,590,3.96
inowdownload.com/,86,82,2.3s,5.6s,22,266
kooora.com/,51,55,8.8s,14.5s,288,3.08
zdnet.com/,14,86,0.9s,19.0s,445,6.53
causes.com/,76,76,4.3s,5.4s,54,1.66
imagebam.com/,74,70,1.3s,1.4s,22,270
thesaurus.com/,34,54,8.0s,8.9s,398,1.06
boc.cn/,60,75,14.6s,15.2s,79,595
kapook.com/,56,53,6.3s,7.6s,213,3.11
argos.co.uk/,76,79,1.7s,6.8s,132,1.48
kp.ru/,32,46,14.9s,36.4s,564,6.08
uniblue.com/,93,82,1.8s,5.1s,18,68.3
boosj.com/,54,62,8.9s,14.5s,100,12.7
meebo.com/,98,96,181ms,241ms,4,5.09
redtram.com/,91,75,4.3s,5.0s,72,643
qianlong.com/,57,62,17.2s,17.5s,106,5.23
top100.cn/,54,78,5.0s,12.1s,36,46.6
ancestry.com/,58,86,2.6s,9.2s,244,1.29
pricegrabber.com/,82,64,1.0s,1.1s,50,816
pkr.com/,96,97,469ms,0.8s,9,24.5
php.net/,94,92,3.4s,3.9s,24,0.99
ea.com/,67,75,4.5s,7.4s,143,4.81
rutube.ru/,83,82,5.2s,12.2s,111,3.55
qingdaonews.com/,48,64,24.3s,26.4s,85,2.87
sbs.co.kr/,17,67,7.5s,8.5s,108,7.72
shvoong.com/,100,92,2.3s,2.3s,8,59.5
kaspersky.com/,57,68,7.2s,12.5s,179,2.53
bigfishgames.com/,49,52,5.6s,5.8s,167,7.49
xing.com/,97,84,3.7s,4.1s,33,873
sing365.com/,99,99,388ms,442ms,3,1.21
bloomberg.com/,50,43,9.3s,11.9s,332,3.22
asiae.co.kr/,35,52,16.2s,17.0s,278,2.94
aolnews.com/,19,48,17.5s,38.0s,821,7.61
picktorrent.com/,83,72,2.1s,2.3s,66,503
pixmania.com/,93,92,2.0s,2.5s,14,562
wired.com/,18,41,16.5s,18.2s,883,6.95
vatgia.com/,74,71,12.1s,14.7s,127,1.33
divx.com/,89,69,2.3s,2.4s,61,1.53
ana.co.jp/,31,46,9.0s,14.4s,422,2.31
fandango.com/,46,49,7.6s,9.5s,300,2.61
seoul.co.kr/,15,46,9.1s,11.4s,183,4.14
appspot.com/,80,97,3.1s,3.2s,22,554
bandoo.com/,82,71,3.6s,4.1s,64,3.25
city-data.com/,82,68,2.0s,2.2s,32,563
wisegeek.com/,90,73,2.0s,2.5s,37,751
ocnk.net/,28,47,7.9s,10.9s,296,6.86
hunantv.com/,93,73,5.2s,5.4s,24,697
kijiji.ca/,36,59,9.5s,10.8s,277,3.79
cnki.net/,42,58,11.8s,14.9s,79,1.48
panasonic.jp/,56,49,7.4s,11.0s,238,3.31
allocine.fr/,55,47,6.7s,9.1s,146,1.79
chinahr.com/,97,74,6.3s,7.8s,48,882
emagister.com/,52,61,4.8s,5.6s,195,2.23
manta.com/,75,71,1.9s,3.5s,89,940
rayli.com.cn/,0,51,19.5s,19.8s,238,24.2
asahi-net.or.jp/,80,71,4.9s,5.0s,61,1.85
dreamstime.com/,92,74,3.2s,3.8s,74,1.13
lastminute.com/,72,76,6.5s,11.6s,92,1.54
nick.com/,58,71,2.8s,3.3s,99,2.27
deezer.com/,81,88,3.3s,4.2s,35,1.47
bohelady.com/,0,66,7.1s,7.3s,87,11.5
esmas.com/,24,52,14.5s,20.2s,527,3.75
vente-privee.com/,95,87,2.4s,3.5s,23,528
lyricsmode.com/,33,61,3.1s,10.4s,435,1.42
findarticles.com/,84,78,1.3s,4.7s,44,1.51
47news.jp/,37,48,8.9s,10.9s,349,2.64
staples.com/,92,92,1.2s,2.3s,16,52.3
songs.pk/,69,75,2.6s,2.9s,103,862
bomb-mp3.com/,95,92,0.9s,1.1s,5,300
cqvip.com/,75,62,6.0s,12.1s,74,1.2
autoscout24.de/,68,55,4.9s,6.2s,186,2.15
victoriassecret.com/,63,91,1.2s,8.8s,158,3.99
acrobat.com/,58,68,5.7s,9.4s,143,1.74
national-lottery.co.uk/,57,81,4.5s,5.1s,117,1.18
mayoclinic.com/,73,66,3.0s,3.6s,95,1.49
zillow.com/,81,79,1.3s,3.2s,96,821
onemanga.com/,100,96,1.8s,2.4s,6,23.3
playsushi.com/,99,99,242ms,390ms,2,92
answerbag.com/,73,61,3.2s,3.8s,119,891
ukr.net/,62,62,9.3s,10.5s,209,1.76
citicards.com/,43,50,5.0s,8.5s,227,2.11
kaixin.com/,51,79,9.8s,14.1s,48,2.26
kbs.co.kr/,29,62,10.7s,13.9s,297,16.7
toysrus.com/,76,75,2.7s,3.5s,70,2.88
vertor.com/,99,88,0.8s,0.8s,14,137
mahalo.com/,38,68,4.2s,5.1s,100,11.2
hurriyet.com.tr/,18,55,9.2s,22.9s,775,4.42
mercadolibre.com.ar/,90,90,1.2s,3.5s,80,1.02
shangdu.com/,30,66,3.7s,3.9s,60,5.28
barbie.com/,26,60,5.3s,6.1s,117,5.54
interpark.com/,9,43,12.0s,33.6s,510,13
mizuhobank.co.jp/,67,65,4.3s,4.8s,58,475
hotwire.com/,67,71,4.3s,10.7s,212,2.18
kompas.com/,38,63,3.1s,8.6s,394,2.23
rising.com.cn/,45,63,4.0s,4.1s,38,1.63
blurtit.com/,86,78,5.5s,5.8s,120,1.03
newgrounds.com/,69,62,4.4s,4.7s,159,3.07
marktplaats.nl/,48,56,11.6s,17.3s,128,3.2
ringtonematcher.com/,80,75,4.3s,4.4s,28,636
goal.com/,35,43,8.4s,11.0s,455,2.75
xs8.cn/,48,70,8.3s,9.8s,73,2.65
mthai.com/,23,59,8.3s,10.7s,275,9.6
clarin.com/,53,62,3.9s,12.1s,299,2.29
openoffice.org/,86,77,1.5s,1.9s,26,162
ciao.de/,98,96,1.1s,2.3s,21,308
jal.co.jp/,39,45,8.0s,13.8s,488,6.28
lyrics007.com/,61,52,3.8s,13.7s,217,3.73
ovguide.com/,70,82,4.1s,4.3s,73,2.03
ultimate-guitar.com/,38,65,5.9s,13.1s,415,1.57
mobile01.com/,64,57,6.6s,8.0s,222,2.4
vdisk.cn/,84,79,7.4s,9.4s,12,209
buy.com/,54,47,0.9s,16.1s,305,6.11
computerbild.de/,45,50,11.4s,18.0s,292,2.6
usgs.gov/,64,66,3.1s,3.7s,42,4.19
te3p.com/,66,57,1.9s,2.2s,42,671
cooks.com/,94,88,2.3s,3.3s,21,222
mcssl.com/,62,57,3.0s,3.6s,73,436
reverso.net/,75,61,5.0s,10.1s,120,925
merchantcircle.com/,90,78,2.4s,2.5s,36,1.17
tiancity.com/,74,71,23.3s,23.7s,86,3.22
dropbox.com/,59,47,11.7s,17.3s,434,4.26
yfrog.com/,83,83,1.5s,1.6s,23,949
tiscali.it/,24,49,11.6s,24.9s,564,7.11
xbox.com/,51,54,4.7s,8.0s,204,4.8
easy-share.com/,99,99,0.5s,0.8s,2,3.55
gotomeeting.com/,49,52,8.1s,15.9s,227,3.71
download-gate.com/,28,51,9.0s,12.2s,568,3.82
nfl.com/,45,47,16.0s,21.3s,372,4.97
experts-exchange.com/,86,76,2.6s,3.7s,76,1.81
cool.ne.jp/,96,71,3.0s,3.2s,42,273
fx120.net/,65,67,5.9s,6.1s,75,1.43
ntv.co.jp/,41,54,7.1s,8.4s,134,2.71
meinvz.net/,92,74,2.5s,3.6s,52,766
king.com/,81,77,4.6s,5.7s,95,1.9
virginmedia.com/,43,58,6.6s,13.1s,156,3.89
youtube.com/,49,84,7.5s,10.5s,71,2.67
